"subject","LVF","RVF"
"s02",0.0191352136622111,-0.0987167156477782
"s03",0.062997697303358,-0.0847031638648594
"s05",0.253829259395253,0.116878129813329
"s06",-0.102232137027073,-0.0844714504852366
"s07",-0.0785212136873075,-0.115074774257353
"s08",0.359241549953193,0.244049642104633
"s09",0.0604658741511377,0.0766166764627623
"s10",0.375031759292555,0.35225809729931
"s12",0.207840416170696,0.148032101121019
"s13",-0.180887586536905,-0.170883894210744
"s14",0.117212678614617,0.0574331500579045
"s15",-0.101899181140967,-0.0887326953523577
"s16",0.0969238757658685,-0.0280259433619278
"s17",-0.0433661456833201,0.0580124614963516
"s18",-0.0689296559814873,-0.0744521656846709
"s19",0.14729024700434,0.0753714662343132
"s20",0.185802490600054,0.261383101047597
"s21",0.159640659730149,0.130726842522181
"s23",-0.313105387572788,-0.254751735735614
"s25",0.106361116946072,0.237004812998707
"s26",0.0782754735820366,0.0267110496599764
"s27",0.138694094877334,0.321536893411696
"s28",0.0371473582527312,-0.00215808570736267
"s29",-0.238524256053938,-0.226459867614305
"s30",0.122758057491696,-0.0102688775987271
"s31",0.232646542007059,-0.00129035175166007
"s32",-0.388316826207596,-0.257493583092343
"s33",-0.189017448465773,-0.127160907115287
"s34",-0.325277928769457,-0.299733359719731
"s35",0.0685937944562578,-0.00545760274366088
"s36",-0.232134757852811,-0.350816776838595
"s37",0.154104857207406,-0.0475203819639075
"s38",-0.148177751449736,-0.115734971488006
"s39",-0.0114015571233014,-0.15555409800332
"s40",0.0694701346868266,0.0241715617425219
"s41",0.0496809988684954,0.00774536998866021
"s43",-0.097898233104379,-0.0325057199026601
"s45",-0.142499453113469,-0.0954624002605309
"s46",-0.205967873799946,-0.25167445104043
"s47",-0.109084744578742,-0.144068568945412
"s48",-0.260196507640933,-0.247905323286085
"s49",-0.121090887542766,-0.0488133880798469
"s50",-0.153663880567698,-0.241582119215129
"s51",-0.0226038316560375,-0.130532289716714
"s52",-0.0470340622796393,-0.139817658275129
"s53",-0.275937696317004,-0.29914336006035
"s54",0.0293268890987784,-0.0437791697006385
"s55",0.0242236130513276,0.0714804757381545
"s56",-0.226859569348989,-0.229144269271703
"s57",-0.193647068724295,-0.100596966296106
"s58",-0.044616529472916,-0.140182112134304
"s59",0.203678041082761,-0.0227999646530094
"s60",-0.0436772003047643,-0.216654892822005
"s62",-0.12650429228187,-0.146006448593473
"s63",-0.0138598106422059,-0.0152934631093827
"s64",-0.139046776341109,-0.247643308990383
"s66",0.113521376729077,0.0974143662082074
"s67",-0.00650491075004226,0.0564375305440363
"s68",0.136434344787537,0.0948524499775008
"s70",-0.218106813210227,-0.114905336184941
"s71",-0.20000799302255,-0.0426477269869822
"s72",-0.106879752911862,0.0942316062455943
"s73",0.0993326436847744,-0.0643022705278543
"s74",0.101457043577976,0.008556865451981
"s75",-0.12531036669567,-0.175339091572984
